Czas	Kanał A
(us)	(V)

63.42200499	-0.01770074
63.42400499	-0.02044740
63.42600499	-0.01770074
63.42800499	-0.01770074
63.43000499	-0.02044740
63.43200499	-0.01770074
63.43400499	-0.01635792
63.43600499	-0.01904355
63.43800499	-0.02313303
63.44000499	-0.02044740
63.44200499	-0.02179022
63.44400499	-0.01770074
63.44600499	-0.02313303
63.44800499	-0.02044740
63.45000499	-0.02179022
63.45200499	-0.02044740
63.45400499	-0.02313303
63.45600499	-0.02313303
63.45800499	-0.01770074
63.46000499	-0.01495407
63.46200499	-0.01904355
63.46400499	-0.01770074
63.46600499	-0.01904355
63.46800499	-0.01770074
63.47000499	-0.01770074
63.47200499	-0.01904355
63.47400499	-0.02179022
63.47600499	-0.02179022
63.47800499	-0.02313303
63.48000499	-0.02044740
63.48200499	-0.02179022
63.48400499	-0.01904355
63.48600499	-0.02313303
63.48800499	-0.02313303
63.49000499	-0.02179022
63.49200499	-0.02044740
63.49400499	-0.02179022
63.49600499	-0.01770074
63.49800498	-0.02179022
63.50000498	-0.01904355
63.50200498	-0.02313303
63.50400498	-0.02447584
63.50600498	-0.01770074
63.50800498	-0.02313303
63.51000498	-0.01770074
63.51200498	-0.01635792
63.51400498	-0.01904355
63.51600498	-0.02179022
63.51800498	-0.02313303
63.52000498	-0.02179022
63.52200498	-0.02179022
63.52400498	-0.02044740
63.52600498	-0.01904355
63.52800498	-0.02044740
63.53000498	-0.02313303
63.53200498	-0.02313303
63.53400498	-0.02179022
63.53600498	-0.01635792
63.53800498	-0.01770074
63.54000498	-0.01635792
63.54200498	-0.01770074
63.54400498	-0.01361126
63.54600498	-0.02044740
63.54800498	-0.02313303
63.55000498	-0.02313303
63.55200498	-0.02179022
63.55400498	-0.02044740
63.55600498	-0.02179022
63.55800498	-0.01904355
63.56000498	-0.01635792
63.56200498	-0.02044740
63.56400498	-0.01904355
63.56600498	-0.01904355
63.56800498	-0.01904355
63.57000498	-0.01635792
63.57200498	-0.01904355
63.57400498	-0.01770074
63.57600498	-0.02179022
63.57800498	-0.02447584
63.58000498	-0.02044740
63.58200498	-0.02447584
63.58400498	-0.02447584
63.58600498	-0.01904355
63.58800498	-0.02044740
63.59000498	-0.01904355
63.59200498	-0.02044740
63.59400498	-0.01770074
63.59600498	-0.02044740
63.59800498	-0.02313303
63.60000498	-0.02179022
63.60200498	-0.02044740
63.60400498	-0.01904355
63.60600498	-0.01904355
63.60800498	-0.01635792
63.61000498	-0.02179022
63.61200498	-0.02179022
63.61400498	-0.02447584
63.61600498	-0.01904355
63.61800498	-0.02044740
63.62000498	-0.01770074
63.62200498	-0.02044740
63.62400498	-0.01904355
63.62600498	-0.02179022
63.62800498	-0.02044740
63.63000498	-0.02044740
63.63200498	-0.01904355
63.63400498	-0.01904355
63.63600498	-0.02044740
63.63800498	-0.02179022
63.64000498	-0.01635792
63.64200498	-0.01904355
